"","log.gamma","log.lambda120","log.lambda230","beta12","beta23"
"parameter.true",0,-1.204,-1.204,0.5,0.5
"naive.exp_est",NA,-1.3751,-1.3243,0.4831,0.4654
"naive.exp_sd",NA,0.0607,0.0623,0.0822,0.082
"naive.exp_mse",NA,0.0385,0.0464,0.0537,0.0619
"naive.weibull_est",-0.0615,-1.2788,-1.1906,0.4686,0.4531
"naive.weibull_sd",0.0266,0.0709,0.0834,0.0802,0.0809
"naive.weibull_mse",0.025,0.0541,0.0707,0.054,0.0622
"wcr.weibull_est",-0.0641,-1.1818,-1.0906,0.4715,0.4497
"wcr.weibull_sd",0.0307,0.0768,0.0924,0.0836,0.0841
"wcr.weibull_mse",0.0281,0.0724,0.0837,0.0677,0.0727
"wsf.weibull_est",-0.0758,-1.1626,-1.0601,0.4638,0.4429
"wsf.weibull_sd",0.0304,0.0755,0.0909,0.0808,0.0833
"wsf.weibull_mse",0.0302,0.0727,0.0891,0.081,0.0847
