"","log.gamma","log.lambda120","log.lambda230","beta12","beta23","gamma","lambda120","lambda230"
"parameter.true",0,-1.204,-1.204,0.5,0.5,1,0.3,0.3
"naive.weibull_est",-0.375,-1.473,-0.758,0.331,0.273,0.688,0.232,0.474
"naive.weibull_sd",0.055,0.143,0.153,0.178,0.148,0.038,0.033,0.072
"naive.weibull_mse",0.034,0.063,0.083,0.062,0.078,0.023,0.014,0.039
"wcr.weibull_est",-0.458,-1.116,-0.397,0.311,0.256,0.634,0.33,0.68
"wcr.weibull_sd",0.064,0.135,0.151,0.167,0.141,0.04,0.045,0.102
"wcr.weibull_mse",0.065,0.143,0.154,0.166,0.124,0.041,0.047,0.105
"wsf.weibull_est",-0.461,-1.106,-0.392,0.308,0.253,0.632,0.334,0.683
"wsf.weibull_sd",0.063,0.133,0.148,0.166,0.139,0.04,0.044,0.101
"wsf.weibull_mse",0.061,0.133,0.148,0.167,0.134,0.039,0.044,0.101
"wsf.weibull.pw1_est",-0.366,-1.196,-0.493,0.343,0.306,0.696,0.305,0.619
"wsf.weibull.pw1_sd",0.076,0.14,0.167,0.171,0.174,0.053,0.042,0.103
"wsf.weibull.pw1_mse",0.073,0.14,0.164,0.173,0.166,0.051,0.043,0.102
"wsf.weibull.pw2_est",-1.611,0.55,1.238,0.166,0.159,0.345,14.82,29.857
"wsf.weibull.pw2_sd",1.421,1.791,1.8,0.236,0.173,0.248,51.286,100.944
"wsf.weibull.pw2_mse",1.31,1.731,1.756,0.249,0.228,0.244,27.325,56.28
